Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau,Leaf Area Index [LAI],Leaf Distribuition [_],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,14:09:22,4D.23,0,54,0,0,0,0,40,42,-77
SUM,14:09:51,4D.21,0,172.2,0,0,0,0,40,42,-77
SUM,14:10:23,4D.11,0,27.4,0,0,0,0,40,42,-77
SUM,14:11:06,4D.13,0,49.6,0,0,0,0,40,42,-77
SUM,14:11:38,4D.15,0,92.4,0,0,0,0,40,42,-77
SUM,14:12:03,4D.05,0,157.2,0,0,0,0,40,42,-77
SUM,14:12:26,4D.03,0,86,0,0,0,0,40,42,-77
SUM,14:13:15,4D.01,0,63.4,0,0,0,0,41,42,-77
SUM,14:15:19,4C.25,0,301.4,0,0,0,0,41,42,-77
SUM,14:15:49,4C.23,0,494,0,0,0,0,41,42,-77
SUM,14:16:17,4C.21,0,214.1,0,0,0,0,41,42,-77
SUM,14:16:50,4C.11,0,693.3,0,0,0,0,41,42,-77
SUM,14:17:22,4C.13,0,1069.9,0,0,0,0,41,42,-77
SUM,14:17:48,4C.15,0,1106.8,0,0,0,0,41,42,-77
SUM,14:18:28,4C.05,0,74.5,0,0,0,0,41,42,-77
SUM,14:19:05,4C.03,0,135.3,0,0,0,0,41,42,-77
SUM,14:19:30,4C.01,0,858.6,0,0,0,0,42,42,-77
SUM,14:24:26,4B.05,0,82.9,0,0,0,0,42,42,-77
SUM,14:25:05,4B.15,0,307.2,0,0,0,0,42,42,-77
SUM,14:25:31,4B.25,0,85.6,0,0,0,0,42,42,-77
SUM,14:26:02,4B.23,0,39.9,0,0,0,0,43,42,-77
SUM,14:26:58,4B.21,0,330.9,0,0,0,0,43,42,-77
SUM,14:27:37,4B.11,0,120.3,0,0,0,0,43,42,-77
SUM,14:28:12,4B.13,0,71.3,0,0,0,0,43,42,-77
SUM,14:28:48,4B.03,0,53,0,0,0,0,43,42,-77
SUM,14:29:11,4B.01,0,52.1,0,0,0,0,43,42,-77
SUM,14:31:15,4A.05,0,849.6,0,0,0,0,43,42,-77
SUM,14:31:43,4A.15,0,853.1,0,0,0,0,43,42,-77
SUM,14:32:11,4A.25,0,741.7,0,0,0,0,43,42,-77
SUM,14:32:40,4A.23,0,445.9,0,0,0,0,44,42,-77
SUM,14:33:33,4A.13,0,1031.6,0,0,0,0,44,42,-77
SUM,14:34:15,4A.03,0,538.4,0,0,0,0,44,42,-77
SUM,14:34:38,4A.01,0,299.8,0,0,0,0,44,42,-77
SUM,14:35:15,4A.11,0,172,0,0,0,0,44,42,-77
SUM,14:36:00,4A.21,0,129.6,0,0,0,0,44,42,-77
SUM,14:42:43,2A.01,0,375.7,0,0,0,0,45,42,-77
SUM,14:43:10,2A.11,0,854.3,0,0,0,0,45,42,-77
SUM,14:43:41,2A.21,0,582,0,0,0,0,45,42,-77
SUM,14:44:19,2A.23,0,164.7,0,0,0,0,45,42,-77
SUM,14:44:58,2A.25,0,923.2,0,0,0,0,46,42,-77
SUM,14:45:40,2A.15,0,1066.8,0,0,0,0,46,42,-77
SUM,14:46:18,2A.13,0,411.3,0,0,0,0,46,42,-77
SUM,14:47:01,2A.03,0,862.2,0,0,0,0,46,42,-77
SUM,14:47:35,2A.01,0,968.2,0,0,0,0,46,42,-77
SUM,14:49:04,2B.01,0,290.7,0,0,0,0,46,42,-77
SUM,14:49:25,2B.11,0,936.8,0,0,0,0,46,42,-77
SUM,14:49:49,2B.21,0,178.2,0,0,0,0,46,42,-77
SUM,14:50:08,2B.23,0,601.5,0,0,0,0,46,42,-77
SUM,14:50:18,2B.23?,0,653.6,0,0,0,0,46,42,-77
SUM,14:51:00,2B.13,0,371.9,0,0,0,0,46,42,-77
SUM,14:51:27,2B.03,0,372.9,0,0,0,0,47,42,-77
SUM,14:51:51,2B.05,0,270.5,0,0,0,0,47,42,-77
SUM,14:52:23,2B.15,0,464.4,0,0,0,0,47,42,-77
SUM,14:52:58,2B.25,0,162.2,0,0,0,0,47,42,-77
SUM,14:54:34,2C.21,0,861.6,0,0,0,0,47,42,-77
SUM,14:55:00,2C.11,0,692.8,0,0,0,0,47,42,-77
SUM,14:55:26,2C.01,0,183.2,0,0,0,0,47,42,-77
SUM,14:55:57,2C.03,0,314.4,0,0,0,0,47,42,-77
SUM,14:56:29,2C.13,0,690.4,0,0,0,0,47,42,-77
SUM,14:56:53,2C.23,0,84.4,0,0,0,0,47,42,-77
SUM,14:57:16,2C.25,0,40.9,0,0,0,0,48,42,-77
SUM,14:57:40,2C.15,0,963.6,0,0,0,0,48,42,-77
SUM,14:58:01,2C.05,0,720.7,0,0,0,0,48,42,-77
SUM,14:59:51,2D.21,0,187,0,0,0,0,48,42,-77
SUM,15:00:25,2D.23,0,561.7,0,0,0,0,48,42,-77
SUM,15:00:47,2D.25,0,880.1,0,0,0,0,48,42,-77
SUM,15:01:17,2D.15,0,274,0,0,0,0,48,42,-77
SUM,15:01:38,2D.13,0,905.6,0,0,0,0,48,42,-77
SUM,15:02:06,2D.11,0,559.5,0,0,0,0,48,42,-77
SUM,15:02:32,2D.01,0,48.7,0,0,0,0,48,42,-77
SUM,15:02:51,2D.03,0,99,0,0,0,0,48,42,-77
SUM,15:03:20,2D.05,0,133.3,0,0,0,0,49,42,-77
SUM,15:07:34,3D.01,0,45.3,0,0,0,0,49,42,-77
SUM,15:07:59,3D.03,0,48.8,0,0,0,0,49,42,-77
SUM,15:08:54,3D.05,0,106.6,0,0,0,0,49,42,-77
SUM,15:09:16,3D.15,0,208,0,0,0,0,50,42,-77
SUM,15:09:51,3D.13,0,961,0,0,0,0,50,42,-77
SUM,15:10:19,3D.11,0,274.7,0,0,0,0,50,42,-77
SUM,15:10:45,3D.21,0,48.8,0,0,0,0,50,42,-77
SUM,15:11:14,3D.23,0,88.9,0,0,0,0,50,42,-77
SUM,15:11:36,3D.25,0,93.5,0,0,0,0,50,42,-77
SUM,15:14:50,3C.25,0,35.8,0,0,0,0,51,42,-77
SUM,15:15:12,3C.15,0,759.3,0,0,0,0,51,42,-77
SUM,15:15:38,3C.05,0,856.6,0,0,0,0,51,42,-77
SUM,15:16:00,3C.03,0,584.5,0,0,0,0,51,42,-77
SUM,15:16:22,3C.13,0,897.5,0,0,0,0,51,42,-77
SUM,15:16:46,3C.23,0,79.9,0,0,0,0,51,42,-77
SUM,15:17:06,3C.21,0,1140.1,0,0,0,0,51,42,-77
SUM,15:17:33,3C.11,0,495.9,0,0,0,0,51,42,-77
SUM,15:17:57,3C.01,0,139.8,0,0,0,0,51,42,-77
SUM,15:19:43,3B.25,0,206.1,0,0,0,0,51,42,-77
SUM,15:20:09,3B.23,0,698.7,0,0,0,0,51,42,-77
SUM,15:20:32,3B.21,0,243.6,0,0,0,0,52,42,-77
SUM,15:20:58,3B.11,0,1079.3,0,0,0,0,52,42,-77
SUM,15:21:20,3B.01,0,107.1,0,0,0,0,52,42,-77
SUM,15:21:43,3B.03,0,164.3,0,0,0,0,52,42,-77
SUM,15:22:08,3B.05,0,81.8,0,0,0,0,52,42,-77
SUM,15:22:30,3B.15,0,331.3,0,0,0,0,52,42,-77
SUM,15:22:53,3B.13,0,246.5,0,0,0,0,52,42,-77
SUM,15:24:17,3A.05,0,551.8,0,0,0,0,52,42,-77
SUM,15:25:15,3A.15,0,973.4,0,0,0,0,52,42,-77
SUM,15:25:43,3A.25,0,220.9,0,0,0,0,52,42,-77
SUM,15:26:12,3A.23,0,481.7,0,0,0,0,52,42,-77
SUM,15:26:36,3A.21,0,833.9,0,0,0,0,53,42,-77
SUM,15:27:12,3A.11,0,728.9,0,0,0,0,53,42,-77
SUM,15:27:48,3A.01,0,210.2,0,0,0,0,53,42,-77
SUM,15:28:29,3A.03,0,812.8,0,0,0,0,53,42,-77
SUM,15:29:01,3A.13,0,1038,0,0,0,0,53,42,-77
